Hazard Name,Hazard Description,Likelihood,Severity
Sharp object exposure,Hazard involving: sharp object exposure.,1,4
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,2,2
Explosive substances,Hazard involving: explosive substances.,1,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,3,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,1,2
Electrical protection failure,Hazard involving: electrical protection failure.,2,5
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",2,2
Supervision failure,Hazard involving: supervision failure.,2,5
Hostile act,Hazard involving: hostile act.,5,1
Design deviation,Hazard involving: design deviation.,4,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,1,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,3
Hazardous construction materials,Hazard involving: hazardous construction materials.,5,1
Drop hazard,Hazard involving: drop hazard.,1,1
Passive obstacle impact,Hazard involving: passive obstacle impact.,5,5
User error,Hazard involving: user error.,3,5
Proof testing hazard,Hazard involving: proof testing hazard.,4,2
Material incompatibilities,Hazard involving: material incompatibilities.,4,1
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,5,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,5,4
Component substitution error,Hazard involving: component substitution error.,5,5
Support equipment hazard,Hazard involving: support equipment hazard.,1,4
Pressure system failure,Hazard involving: pressure system failure.,1,4
Ventilation failure,Hazard involving: ventilation failure.,4,1
Explosion potential,Hazard involving: explosion potential.,5,3
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,1,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,4
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,5,1
Proof testing hazard,Hazard involving: proof testing hazard.,3,2
Hardware/software control failure,Hazard involving: hardware/software control failure.,1,5
Failure of passive protective system,Hazard involving: failure of passive protective system.,5,5
Drop hazard,Hazard involving: drop hazard.,3,3
Egress failure,Hazard involving: egress failure.,1,1
Fail-safe design failure,Hazard involving: fail-safe design failure.,3,2
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,4,4
Hydraulic system failure,Hazard involving: hydraulic system failure.,5,5
Virus infection,Hazard involving: virus infection.,2,3
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,3,4
Hardware/software control failure,Hazard involving: hardware/software control failure.,1,2
Security breach,Hazard involving: security breach.,2,5
Passive obstacle impact,Hazard involving: passive obstacle impact.,2,5
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,4,5
Ventilation failure,Hazard involving: ventilation failure.,2,5
Damage containment failure,Hazard involving: damage containment failure.,1,3
Electrical source hazard,Hazard involving: electrical source hazard.,4,4
Pressure system failure,Hazard involving: pressure system failure.,1,5
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,4,5
Material incompatibilities,Hazard involving: material incompatibilities.,2,2
Hazardous construction materials,Hazard involving: hazardous construction materials.,1,4
Flammable materials,Hazard involving: flammable materials.,4,4
Passive obstacle impact,Hazard involving: passive obstacle impact.,5,2
Electrical protection failure,Hazard involving: electrical protection failure.,3,2
Fail-safe design failure,Hazard involving: fail-safe design failure.,5,2
Warning alarm failure,Hazard involving: warning alarm failure.,2,5
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,1,2
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,5,1
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,1,4
Collision with object on track,Hazard involving: collision with object on track.,2,4
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,3
Noise hazard,Hazard involving: noise hazard.,2,3
Ventilation failure,Hazard involving: ventilation failure.,2,5
System redundancy failure,Hazard involving: system redundancy failure.,1,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,4
Noise hazard,Hazard involving: noise hazard.,4,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,2
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,3,5
Hazard containment failure,Hazard involving: hazard containment failure.,2,5
Derailment due to object on track,Hazard involving: derailment due to object on track.,3,2
Collision with rail structure,Hazard involving: collision with rail structure.,3,3
Collision with rail structure,Hazard involving: collision with rail structure.,4,5
Failure of passive protective system,Hazard involving: failure of passive protective system.,5,5
Proof testing hazard,Hazard involving: proof testing hazard.,5,2
Egress failure,Hazard involving: egress failure.,3,3
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,1,2
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,4,2
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,1,2
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,3,2
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,4,5
Derailment due to object on track,Hazard involving: derailment due to object on track.,5,4
Hostile act,Hazard involving: hostile act.,1,3
Flammable materials,Hazard involving: flammable materials.,2,1
Hostile act,Hazard involving: hostile act.,5,2
Collision with rail structure,Hazard involving: collision with rail structure.,4,4
Electrical protection failure,Hazard involving: electrical protection failure.,1,1
Maintenance error,Hazard involving: maintenance error.,5,4
Hostile act,Hazard involving: hostile act.,5,1
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,3,4
Impact from heavy object,Hazard involving: impact from heavy object.,2,2
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",4,3
Hazardous construction materials,Hazard involving: hazardous construction materials.,1,5
Collision with rail structure,Hazard involving: collision with rail structure.,4,4
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,4,4
Egress failure,Hazard involving: egress failure.,2,5
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,2,1
Power supply failure,Hazard involving: power supply failure.,4,5
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,4,1
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,5
Interlock failure,Hazard involving: interlock failure.,5,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,4
Health hazard,Hazard involving: health hazard.,2,4
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,3,1
Maintenance error,Hazard involving: maintenance error.,5,2
Damage repair failure,Hazard involving: damage repair failure.,4,2
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,5,5
Virus infection,Hazard involving: virus infection.,2,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,2,4
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,1,5
Design deviation,Hazard involving: design deviation.,3,3
Ventilation failure,Hazard involving: ventilation failure.,5,2
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,5,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,2,5
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,4
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,4,2
Hazardous construction materials,Hazard involving: hazardous construction materials.,3,2
Supervision failure,Hazard involving: supervision failure.,5,4
Training inadequacy,Hazard involving: training inadequacy.,1,1
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,5,1
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,4
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",3,4
Proof testing hazard,Hazard involving: proof testing hazard.,5,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,4
Electrical protection failure,Hazard involving: electrical protection failure.,1,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,4,3
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,3,4
User error,Hazard involving: user error.,3,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,1,2
